learner on mps, 10 workers, sims=16
[25/10000] warmup | plies 118 decisive 48% | buffer 2940 steps 0 | 213.4 g/min eta 0.8h
[2825/10000] loss 2.159 (pi 2.138 v 0.019 q 0.001 c 0.001) | plies 142 decisive 20% | buffer 200000 steps 5346 | 194.3 g/min eta 0.6h
[2850/10000] loss 2.153 (pi 2.132 v 0.019 q 0.001 c 0.001) | plies 142 decisive 20% | buffer 200000 steps 5395 | 194.5 g/min eta 0.6h
[2875/10000] loss 2.156 (pi 2.134 v 0.020 q 0.001 c 0.001) | plies 143 decisive 19% | buffer 200000 steps 5445 | 194.6 g/min eta 0.6h
[2900/10000] loss 2.152 (pi 2.130 v 0.020 q 0.001 c 0.001) | plies 142 decisive 20% | buffer 200000 steps 5491 | 195.0 g/min eta 0.6h
[2925/10000] loss 2.145 (pi 2.123 v 0.020 q 0.001 c 0.001) | plies 143 decisive 20% | buffer 200000 steps 5540 | 195.2 g/min eta 0.6h
[2950/10000] loss 2.146 (pi 2.124 v 0.020 q 0.001 c 0.001) | plies 142 decisive 20% | buffer 200000 steps 5585 | 195.5 g/min eta 0.6h
[2975/10000] loss 2.146 (pi 2.124 v 0.020 q 0.001 c 0.001) | plies 144 decisive 17% | buffer 200000 steps 5634 | 195.6 g/min eta 0.6h
[3000/10000] loss 2.139 (pi 2.118 v 0.020 q 0.001 c 0.001) | plies 144 decisive 18% | buffer 200000 steps 5680 | 195.8 g/min eta 0.6h
  EVAL @3000: q-greedy 7-17-0 | policy-greedy 0-24-0 | search 7-0-1 (eval 20s)
[3025/10000] loss 2.136 (pi 2.114 v 0.020 q 0.001 c 0.001) | plies 143 decisive 20% | buffer 200000 steps 5724 | 190.6 g/min eta 0.6h
[3050/10000] loss 2.133 (pi 2.111 v 0.020 q 0.001 c 0.001) | plies 141 decisive 22% | buffer 200000 steps 5768 | 191.6 g/min eta 0.6h
[3075/10000] loss 2.130 (pi 2.107 v 0.020 q 0.001 c 0.002) | plies 141 decisive 24% | buffer 200000 steps 5815 | 192.7 g/min eta 0.6h
[3100/10000] loss 2.128 (pi 2.105 v 0.021 q 0.001 c 0.002) | plies 141 decisive 24% | buffer 200000 steps 5861 | 193.7 g/min eta 0.6h
[3125/10000] loss 2.127 (pi 2.104 v 0.021 q 0.001 c 0.002) | plies 139 decisive 28% | buffer 200000 steps 5907 | 194.0 g/min eta 0.6h
[3150/10000] loss 2.120 (pi 2.096 v 0.021 q 0.001 c 0.002) | plies 142 decisive 25% | buffer 200000 steps 5955 | 194.1 g/min eta 0.6h
[3175/10000] loss 2.120 (pi 2.096 v 0.022 q 0.002 c 0.002) | plies 140 decisive 28% | buffer 200000 steps 6000 | 194.3 g/min eta 0.6h
[3200/10000] loss 2.119 (pi 2.094 v 0.022 q 0.002 c 0.002) | plies 139 decisive 28% | buffer 200000 steps 6044 | 194.5 g/min eta 0.6h
[3225/10000] loss 2.114 (pi 2.090 v 0.022 q 0.001 c 0.002) | plies 141 decisive 27% | buffer 200000 steps 6092 | 194.6 g/min eta 0.6h
[3250/10000] loss 2.112 (pi 2.087 v 0.023 q 0.001 c 0.002) | plies 141 decisive 28% | buffer 200000 steps 6137 | 194.9 g/min eta 0.6h
[3275/10000] loss 2.112 (pi 2.086 v 0.023 q 0.002 c 0.002) | plies 140 decisive 29% | buffer 200000 steps 6183 | 195.1 g/min eta 0.6h
[3300/10000] loss 2.110 (pi 2.084 v 0.023 q 0.002 c 0.002) | plies 140 decisive 30% | buffer 200000 steps 6230 | 195.3 g/min eta 0.6h
[3325/10000] loss 2.114 (pi 2.088 v 0.024 q 0.002 c 0.002) | plies 142 decisive 28% | buffer 200000 steps 6276 | 195.5 g/min eta 0.6h
[3350/10000] loss 2.113 (pi 2.086 v 0.024 q 0.002 c 0.002) | plies 140 decisive 30% | buffer 200000 steps 6324 | 195.6 g/min eta 0.6h
[3375/10000] loss 2.110 (pi 2.082 v 0.024 q 0.002 c 0.002) | plies 138 decisive 33% | buffer 200000 steps 6364 | 196.0 g/min eta 0.6h
[3400/10000] loss 2.113 (pi 2.085 v 0.025 q 0.002 c 0.002) | plies 138 decisive 34% | buffer 200000 steps 6410 | 196.2 g/min eta 0.6h
[3425/10000] loss 2.116 (pi 2.087 v 0.026 q 0.002 c 0.002) | plies 137 decisive 36% | buffer 200000 steps 6456 | 196.4 g/min eta 0.6h
[3450/10000] loss 2.115 (pi 2.086 v 0.026 q 0.002 c 0.002) | plies 137 decisive 36% | buffer 200000 steps 6502 | 196.6 g/min eta 0.6h
[3475/10000] loss 2.108 (pi 2.078 v 0.027 q 0.002 c 0.002) | plies 136 decisive 38% | buffer 200000 steps 6546 | 196.9 g/min eta 0.6h
[3500/10000] loss 2.110 (pi 2.079 v 0.027 q 0.002 c 0.003) | plies 132 decisive 42% | buffer 200000 steps 6588 | 197.4 g/min eta 0.5h
  EVAL @3500: q-greedy 6-18-0 | policy-greedy 0-24-0 | search 8-0-0 (eval 13s)
