warm start from runs/run100k/ckpt_100000.pt (2,773,699 params)
learner on mps, 6 workers x 48 games (cpu, 2 threads), sims=32, net 2,773,699 params, study=on, gate at 0 games
  GATE OPEN @1: study/resignation enabled
[25/60000] warmup | plies 49 decisive 96% | buffer 1229 steps 0 | 12.3 g/min eta 81.5h
[2800/60000] loss 2.033 (pi 1.626 v 0.078 q 0.031 c 0.044) | plies 101 decisive 81% | buffer 200000 steps 4988 | 65.6 g/min eta 14.5h
[2825/60000] loss 2.025 (pi 1.621 v 0.077 q 0.031 c 0.043) | plies 100 decisive 82% | buffer 200000 steps 5037 | 65.6 g/min eta 14.5h
[2850/60000] loss 2.041 (pi 1.632 v 0.077 q 0.031 c 0.043) | plies 101 decisive 81% | buffer 200000 steps 5086 | 65.5 g/min eta 14.5h
[2875/60000] loss 2.040 (pi 1.634 v 0.077 q 0.031 c 0.044) | plies 102 decisive 80% | buffer 200000 steps 5132 | 65.5 g/min eta 14.5h
[2900/60000] loss 2.038 (pi 1.630 v 0.077 q 0.031 c 0.044) | plies 104 decisive 80% | buffer 200000 steps 5183 | 65.6 g/min eta 14.5h
[2925/60000] loss 2.035 (pi 1.627 v 0.077 q 0.031 c 0.045) | plies 102 decisive 81% | buffer 200000 steps 5225 | 65.6 g/min eta 14.5h
[2950/60000] loss 2.033 (pi 1.626 v 0.077 q 0.031 c 0.045) | plies 103 decisive 78% | buffer 200000 steps 5271 | 65.6 g/min eta 14.5h
[2975/60000] loss 2.038 (pi 1.629 v 0.078 q 0.031 c 0.045) | plies 104 decisive 80% | buffer 200000 steps 5317 | 65.5 g/min eta 14.5h
[3000/60000] loss 2.043 (pi 1.634 v 0.078 q 0.031 c 0.044) | plies 102 decisive 81% | buffer 200000 steps 5362 | 65.6 g/min eta 14.5h
  EVAL @3000: q-greedy 5-19-0 | policy-greedy 6-18-0 | search 8-0-0 (eval 44s)
[3025/60000] loss 2.043 (pi 1.633 v 0.079 q 0.031 c 0.044) | plies 100 decisive 83% | buffer 200000 steps 5404 | 64.8 g/min eta 14.6h
[3050/60000] loss 2.044 (pi 1.635 v 0.079 q 0.031 c 0.043) | plies 98 decisive 84% | buffer 200000 steps 5452 | 65.3 g/min eta 14.5h
[3075/60000] loss 2.047 (pi 1.639 v 0.079 q 0.031 c 0.044) | plies 98 decisive 84% | buffer 200000 steps 5499 | 65.7 g/min eta 14.4h
[3100/60000] loss 2.047 (pi 1.640 v 0.079 q 0.031 c 0.044) | plies 96 decisive 86% | buffer 200000 steps 5544 | 65.7 g/min eta 14.4h
[3125/60000] loss 2.049 (pi 1.642 v 0.079 q 0.031 c 0.043) | plies 96 decisive 86% | buffer 200000 steps 5585 | 65.8 g/min eta 14.4h
[3150/60000] loss 2.046 (pi 1.639 v 0.079 q 0.031 c 0.044) | plies 96 decisive 86% | buffer 200000 steps 5631 | 65.7 g/min eta 14.4h
[3175/60000] loss 2.051 (pi 1.644 v 0.079 q 0.031 c 0.044) | plies 96 decisive 84% | buffer 200000 steps 5675 | 65.7 g/min eta 14.4h
[3200/60000] loss 2.050 (pi 1.641 v 0.078 q 0.031 c 0.044) | plies 97 decisive 82% | buffer 200000 steps 5724 | 65.6 g/min eta 14.4h
[3225/60000] loss 2.053 (pi 1.644 v 0.079 q 0.031 c 0.044) | plies 99 decisive 82% | buffer 200000 steps 5767 | 65.6 g/min eta 14.4h
[3250/60000] loss 2.050 (pi 1.639 v 0.078 q 0.031 c 0.045) | plies 99 decisive 80% | buffer 200000 steps 5813 | 65.6 g/min eta 14.4h
