learner on mps, 6 workers x 48 games (cpu, 2 threads), sims=16, net 2,772,161 params, study=on, gate at 2000 games
[25/100000] warmup | plies 42 decisive 100% | buffer 1054 steps 0 | 19.0 g/min eta 87.6h
[2500/100000] loss 2.564 (pi 2.512 v 0.046 q 0.004 c 0.004) | plies 134 decisive 34% | buffer 200000 steps 4487 | 104.9 g/min eta 15.5h
[2525/100000] loss 2.546 (pi 2.496 v 0.045 q 0.004 c 0.004) | plies 135 decisive 32% | buffer 200000 steps 4538 | 105.2 g/min eta 15.4h
[2550/100000] loss 2.534 (pi 2.484 v 0.045 q 0.004 c 0.004) | plies 135 decisive 34% | buffer 200000 steps 4591 | 105.1 g/min eta 15.5h
[2575/100000] loss 2.520 (pi 2.468 v 0.045 q 0.004 c 0.004) | plies 137 decisive 32% | buffer 200000 steps 4640 | 105.1 g/min eta 15.4h
[2600/100000] loss 2.511 (pi 2.461 v 0.045 q 0.004 c 0.004) | plies 138 decisive 30% | buffer 200000 steps 4691 | 105.3 g/min eta 15.4h
[2625/100000] loss 2.496 (pi 2.445 v 0.045 q 0.004 c 0.004) | plies 137 decisive 30% | buffer 200000 steps 4738 | 105.3 g/min eta 15.4h
[2650/100000] loss 2.482 (pi 2.432 v 0.044 q 0.004 c 0.004) | plies 137 decisive 29% | buffer 200000 steps 4786 | 105.1 g/min eta 15.4h
[2675/100000] loss 2.468 (pi 2.419 v 0.043 q 0.004 c 0.004) | plies 137 decisive 30% | buffer 200000 steps 4835 | 105.0 g/min eta 15.5h
[2700/100000] loss 2.456 (pi 2.408 v 0.043 q 0.004 c 0.004) | plies 136 decisive 32% | buffer 200000 steps 4885 | 104.7 g/min eta 15.5h
[2725/100000] loss 2.443 (pi 2.395 v 0.042 q 0.004 c 0.004) | plies 137 decisive 30% | buffer 200000 steps 4932 | 104.8 g/min eta 15.5h
[2750/100000] loss 2.429 (pi 2.382 v 0.042 q 0.004 c 0.004) | plies 136 decisive 29% | buffer 200000 steps 4983 | 105.0 g/min eta 15.4h
[2775/100000] loss 2.420 (pi 2.373 v 0.042 q 0.004 c 0.004) | plies 136 decisive 30% | buffer 200000 steps 5030 | 105.1 g/min eta 15.4h
[2800/100000] loss 2.408 (pi 2.361 v 0.042 q 0.004 c 0.004) | plies 135 decisive 31% | buffer 200000 steps 5081 | 105.3 g/min eta 15.4h
[2825/100000] loss 2.397 (pi 2.350 v 0.041 q 0.003 c 0.004) | plies 137 decisive 30% | buffer 200000 steps 5133 | 105.4 g/min eta 15.4h
[2850/100000] loss 2.387 (pi 2.341 v 0.041 q 0.003 c 0.004) | plies 136 decisive 30% | buffer 200000 steps 5183 | 105.2 g/min eta 15.4h
[2875/100000] loss 2.375 (pi 2.329 v 0.041 q 0.004 c 0.004) | plies 135 decisive 32% | buffer 200000 steps 5229 | 105.3 g/min eta 15.4h
[2900/100000] loss 2.364 (pi 2.318 v 0.040 q 0.004 c 0.004) | plies 135 decisive 33% | buffer 200000 steps 5284 | 105.2 g/min eta 15.4h
[2925/100000] loss 2.357 (pi 2.312 v 0.040 q 0.003 c 0.004) | plies 136 decisive 32% | buffer 200000 steps 5333 | 105.1 g/min eta 15.4h
[2950/100000] loss 2.347 (pi 2.302 v 0.040 q 0.003 c 0.003) | plies 134 decisive 36% | buffer 200000 steps 5384 | 105.1 g/min eta 15.4h
[2975/100000] loss 2.338 (pi 2.293 v 0.040 q 0.004 c 0.004) | plies 133 decisive 38% | buffer 200000 steps 5434 | 105.2 g/min eta 15.4h
[3000/100000] loss 2.336 (pi 2.290 v 0.040 q 0.003 c 0.004) | plies 135 decisive 38% | buffer 200000 steps 5484 | 104.8 g/min eta 15.4h
  EVAL @3000: q-greedy 2-22-0 | policy-greedy 0-24-0 | search 8-0-0 (eval 29s)
[3025/100000] loss 2.324 (pi 2.279 v 0.040 q 0.003 c 0.004) | plies 133 decisive 38% | buffer 200000 steps 5531 | 102.8 g/min eta 15.7h
[3050/100000] loss 2.312 (pi 2.266 v 0.040 q 0.003 c 0.003) | plies 133 decisive 36% | buffer 200000 steps 5582 | 103.3 g/min eta 15.6h
[3075/100000] loss 2.306 (pi 2.261 v 0.040 q 0.003 c 0.004) | plies 136 decisive 34% | buffer 200000 steps 5632 | 103.8 g/min eta 15.6h
[3100/100000] loss 2.296 (pi 2.251 v 0.040 q 0.004 c 0.004) | plies 137 decisive 32% | buffer 200000 steps 5685 | 104.3 g/min eta 15.5h
[3125/100000] loss 2.288 (pi 2.244 v 0.039 q 0.003 c 0.004) | plies 136 decisive 34% | buffer 200000 steps 5732 | 104.4 g/min eta 15.5h
[3150/100000] loss 2.277 (pi 2.233 v 0.038 q 0.003 c 0.004) | plies 137 decisive 29% | buffer 200000 steps 5782 | 104.4 g/min eta 15.5h
[3175/100000] loss 2.264 (pi 2.221 v 0.038 q 0.003 c 0.004) | plies 139 decisive 27% | buffer 200000 steps 5835 | 104.5 g/min eta 15.4h
[3200/100000] loss 2.261 (pi 2.218 v 0.038 q 0.003 c 0.004) | plies 136 decisive 30% | buffer 200000 steps 5880 | 104.6 g/min eta 15.4h
[3225/100000] loss 2.257 (pi 2.214 v 0.038 q 0.004 c 0.004) | plies 137 decisive 30% | buffer 200000 steps 5931 | 104.6 g/min eta 15.4h
[3250/100000] loss 2.252 (pi 2.209 v 0.038 q 0.003 c 0.003) | plies 134 decisive 33% | buffer 200000 steps 5975 | 104.8 g/min eta 15.4h
[3275/100000] loss 2.245 (pi 2.201 v 0.039 q 0.003 c 0.003) | plies 132 decisive 34% | buffer 200000 steps 6024 | 104.8 g/min eta 15.4h
[3300/100000] loss 2.249 (pi 2.206 v 0.038 q 0.003 c 0.004) | plies 131 decisive 34% | buffer 200000 steps 6073 | 104.5 g/min eta 15.4h
[3325/100000] loss 2.245 (pi 2.201 v 0.038 q 0.003 c 0.003) | plies 130 decisive 38% | buffer 200000 steps 6125 | 104.5 g/min eta 15.4h
[3350/100000] loss 2.234 (pi 2.190 v 0.039 q 0.003 c 0.003) | plies 132 decisive 38% | buffer 200000 steps 6178 | 104.5 g/min eta 15.4h
[3375/100000] loss 2.226 (pi 2.181 v 0.039 q 0.003 c 0.003) | plies 131 decisive 38% | buffer 200000 steps 6225 | 104.4 g/min eta 15.4h
[3400/100000] loss 2.216 (pi 2.172 v 0.039 q 0.003 c 0.003) | plies 134 decisive 34% | buffer 200000 steps 6275 | 104.4 g/min eta 15.4h
[3425/100000] loss 2.210 (pi 2.167 v 0.039 q 0.003 c 0.003) | plies 134 decisive 36% | buffer 200000 steps 6327 | 104.4 g/min eta 15.4h
[3450/100000] loss 2.209 (pi 2.165 v 0.039 q 0.003 c 0.003) | plies 135 decisive 38% | buffer 200000 steps 6375 | 104.5 g/min eta 15.4h
[3475/100000] loss 2.213 (pi 2.168 v 0.039 q 0.004 c 0.004) | plies 136 decisive 37% | buffer 200000 steps 6427 | 104.5 g/min eta 15.4h
[3500/100000] loss 2.200 (pi 2.156 v 0.039 q 0.003 c 0.004) | plies 136 decisive 37% | buffer 200000 steps 6478 | 104.7 g/min eta 15.4h
[3525/100000] loss 2.196 (pi 2.152 v 0.038 q 0.003 c 0.004) | plies 139 decisive 32% | buffer 200000 steps 6526 | 104.5 g/min eta 15.4h
[3550/100000] loss 2.195 (pi 2.150 v 0.039 q 0.003 c 0.004) | plies 136 decisive 34% | buffer 200000 steps 6575 | 104.6 g/min eta 15.4h
[3575/100000] loss 2.194 (pi 2.149 v 0.040 q 0.004 c 0.004) | plies 136 decisive 34% | buffer 200000 steps 6621 | 104.6 g/min eta 15.4h
[3600/100000] loss 2.188 (pi 2.144 v 0.039 q 0.004 c 0.004) | plies 135 decisive 36% | buffer 200000 steps 6673 | 104.8 g/min eta 15.3h
[3625/100000] loss 2.183 (pi 2.139 v 0.039 q 0.004 c 0.004) | plies 135 decisive 34% | buffer 200000 steps 6720 | 104.6 g/min eta 15.4h
[3650/100000] loss 2.176 (pi 2.132 v 0.039 q 0.004 c 0.004) | plies 136 decisive 32% | buffer 200000 steps 6771 | 104.5 g/min eta 15.4h
[3675/100000] loss 2.173 (pi 2.127 v 0.040 q 0.004 c 0.004) | plies 137 decisive 32% | buffer 200000 steps 6823 | 104.4 g/min eta 15.4h
[3700/100000] loss 2.167 (pi 2.121 v 0.041 q 0.004 c 0.004) | plies 136 decisive 32% | buffer 200000 steps 6874 | 104.3 g/min eta 15.4h
[3725/100000] loss 2.159 (pi 2.113 v 0.041 q 0.004 c 0.004) | plies 135 decisive 36% | buffer 200000 steps 6926 | 104.4 g/min eta 15.4h
[3750/100000] loss 2.158 (pi 2.111 v 0.040 q 0.004 c 0.004) | plies 137 decisive 34% | buffer 200000 steps 6975 | 104.4 g/min eta 15.4h
[3775/100000] loss 2.160 (pi 2.115 v 0.040 q 0.004 c 0.004) | plies 136 decisive 36% | buffer 200000 steps 7022 | 104.6 g/min eta 15.3h
[3800/100000] loss 2.157 (pi 2.111 v 0.040 q 0.004 c 0.004) | plies 135 decisive 35% | buffer 200000 steps 7071 | 104.7 g/min eta 15.3h
[3825/100000] loss 2.147 (pi 2.101 v 0.040 q 0.004 c 0.004) | plies 137 decisive 34% | buffer 200000 steps 7122 | 104.5 g/min eta 15.3h
[3850/100000] loss 2.143 (pi 2.097 v 0.040 q 0.004 c 0.004) | plies 138 decisive 33% | buffer 200000 steps 7172 | 104.5 g/min eta 15.3h
[3875/100000] loss 2.139 (pi 2.092 v 0.041 q 0.004 c 0.004) | plies 136 decisive 35% | buffer 200000 steps 7223 | 104.5 g/min eta 15.3h
[3900/100000] loss 2.137 (pi 2.090 v 0.041 q 0.004 c 0.004) | plies 137 decisive 35% | buffer 200000 steps 7274 | 104.7 g/min eta 15.3h
[3925/100000] loss 2.138 (pi 2.092 v 0.041 q 0.004 c 0.004) | plies 135 decisive 34% | buffer 200000 steps 7322 | 104.7 g/min eta 15.3h
[3950/100000] loss 2.141 (pi 2.094 v 0.042 q 0.004 c 0.004) | plies 132 decisive 39% | buffer 200000 steps 7370 | 104.5 g/min eta 15.3h
[3975/100000] loss 2.143 (pi 2.095 v 0.042 q 0.004 c 0.004) | plies 132 decisive 38% | buffer 200000 steps 7418 | 104.7 g/min eta 15.3h
[4000/100000] loss 2.143 (pi 2.095 v 0.042 q 0.004 c 0.004) | plies 131 decisive 40% | buffer 200000 steps 7466 | 104.7 g/min eta 15.3h
  EVAL @4000: q-greedy 3-21-0 | policy-greedy 0-24-0 | search 5-3-0 (eval 35s)
[4025/100000] loss 2.141 (pi 2.094 v 0.042 q 0.004 c 0.004) | plies 130 decisive 41% | buffer 200000 steps 7516 | 103.0 g/min eta 15.5h
